report_id,description,location,source
R270,Truck driver was found using a mobile phone while driving on the road. during a routine inspection.,Tank Farm C,Industrial Safety Dataset
R271,Worker was cutting a pipe with a spark near open fuel containers.,Site Yard J,Industrial Safety Dataset
R272,Technician entered a tank for cleaning without gas testing performed. under time pressure to complete the task.,Electrical Substation I,Industrial Safety Dataset
R273,A fatality resulted from a gas release during a pressure testing operation on a pipeline.,Workshop E,IOGP Fatal Incident Report
R274,Contractor was grinding near flammable material without a hot work permit. while working alone without supervision.,Pipeline ROW D,Industrial Safety Dataset
R275,Truck driver was found using a mobile phone while driving on the road. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R276,Employee reported strong fumes near the chemical storage tank.,Loading Terminal G,Industrial Safety Dataset
R277,Employee was standing below a suspended crane load. while working alone without supervision.,Gas Processing Plant F,Industrial Safety Dataset
R278,Technician entered a tank for cleaning without gas testing performed. during a routine inspection.,Gas Processing Plant F,Industrial Safety Dataset
R279,Employee reported strong fumes near the chemical storage tank.,Electrical Substation I,Industrial Safety Dataset
R280,A driver was killed in a vehicle rollover while transporting equipment on an unpaved road.,Tank Farm C,IOGP Fatal Incident Report
R281,Rigger was working under a suspended load during lifting operation. during a routine inspection.,Electrical Substation I,Industrial Safety Dataset
R282,Truck driver was found using a mobile phone while driving on the road. during a routine inspection.,Production Facility B,Industrial Safety Dataset
R283,Worker touched an energised cable while performing routine maintenance. during a routine inspection.,Well Pad H,Industrial Safety Dataset
R284,Technician opened a live electrical panel without lockout applied. while working alone without supervision.,Site Yard J,Industrial Safety Dataset
R285,Worker was found on a scaffold without fall protection. while working alone without supervision.,Well Pad H,Industrial Safety Dataset
R286,Worker touched an energised cable while performing routine maintenance. during night shift operations.,Workshop E,Industrial Safety Dataset
R287,Technician opened a live electrical panel without lockout applied. during a routine inspection.,Site Yard J,Industrial Safety Dataset
R288,Crane operator lifted a load without verifying the rigging inspection. following a shift handover.,Well Pad H,Industrial Safety Dataset
R289,Driver skipped the pre-trip vehicle inspection before a long site journey. during a routine inspection.,Drill Site A,Industrial Safety Dataset
R290,"Employee slipped on an oil spill in the workshop, no injury reported. while working alone without supervision.",Production Facility B,Industrial Safety Dataset
R291,Worker touched an energised cable while performing routine maintenance. during night shift operations.,Pipeline ROW D,Industrial Safety Dataset
R292,Falling material from an overhead pipe rack caused a near miss. under time pressure to complete the task.,Well Pad H,Industrial Safety Dataset
R293,Worker performed a routine walk-around inspection with no issues found. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R294,Employee drove a vehicle without a seatbelt during a site journey. during a routine inspection.,Electrical Substation I,Industrial Safety Dataset
R295,Worker was exposed to an energized electrical panel. under time pressure to complete the task.,Gas Processing Plant F,Industrial Safety Dataset
R296,Maintenance worker performed welding without proper hot work controls. during night shift operations.,Electrical Substation I,Industrial Safety Dataset
R297,Truck driver was found using a mobile phone while driving on the road. following a shift handover.,Pipeline ROW D,Industrial Safety Dataset
R298,Employee filled out routine paperwork in the office. while working alone without supervision.,Drill Site A,Industrial Safety Dataset
R299,Maintenance worker performed welding without proper hot work controls. following a shift handover.,Tank Farm C,Industrial Safety Dataset
R300,Worker was exposed to chemical fumes due to a damaged ventilation system.,Production Facility B,Industrial Safety Dataset
R301,Crane operator lifted a load without verifying the rigging inspection.,Pipeline ROW D,Industrial Safety Dataset
R302,Falling material from an overhead pipe rack caused a near miss. during a routine inspection.,Pipeline ROW D,Industrial Safety Dataset
R303,Technician was exposed to a sudden pressure release during valve maintenance. during night shift operations.,Site Yard J,Industrial Safety Dataset
R304,Truck driver was found using a mobile phone while driving on the road. during a routine inspection.,Well Pad H,Industrial Safety Dataset
R305,Falling material from an overhead pipe rack caused a near miss. under time pressure to complete the task.,Electrical Substation I,Industrial Safety Dataset
R306,Driver skipped the pre-trip vehicle inspection before a long site journey. while working alone without supervision.,Electrical Substation I,Industrial Safety Dataset
R307,Employee was working at height on a roof without a harness.,Well Pad H,Industrial Safety Dataset
R308,Staff attended a safety training session in the conference room. under time pressure to complete the task.,Pipeline ROW D,Industrial Safety Dataset
R309,Falling material from an overhead pipe rack caused a near miss. following a shift handover.,Tank Farm C,Industrial Safety Dataset
R310,Employee was working at height on a roof without a harness. while working alone without supervision.,Workshop E,Industrial Safety Dataset
R311,Staff attended a safety training session in the conference room. during night shift operations.,Loading Terminal G,Industrial Safety Dataset
R312,Worker entered a confined space without atmospheric testing. while working alone without supervision.,Loading Terminal G,Industrial Safety Dataset
R313,Crane operator lifted a load without verifying the rigging inspection. during a routine inspection.,Tank Farm C,Industrial Safety Dataset
R314,A contractor died after entering an unventilated confined space and being overcome by toxic gas.,Pipeline ROW D,IOGP Fatal Incident Report
R315,Contractor was grinding near flammable material without a hot work permit.,Drill Site A,Industrial Safety Dataset
R316,Worker was fatally injured after being struck by a falling drill pipe on the rig floor.,Production Facility B,IOGP Fatal Incident Report
R317,Employee drove a vehicle without a seatbelt during a site journey. under time pressure to complete the task.,Pipeline ROW D,Industrial Safety Dataset
R318,Worker was found on a scaffold without fall protection. during night shift operations.,Electrical Substation I,Industrial Safety Dataset
R319,Worker was seen without a hard hat near an overhead crane operation. while working alone without supervision.,Electrical Substation I,Industrial Safety Dataset
R320,A fatality resulted from a gas release during a pressure testing operation on a pipeline.,Site Yard J,IOGP Fatal Incident Report
R321,Vehicle driver was operating a vehicle on the site. during a routine inspection.,Electrical Substation I,Industrial Safety Dataset
R322,Contractor was grinding near flammable material without a hot work permit. following a shift handover.,Drill Site A,Industrial Safety Dataset
R323,Worker was cutting a pipe with a spark near open fuel containers. during night shift operations.,Well Pad H,Industrial Safety Dataset
R324,Falling material from an overhead pipe rack caused a near miss. following a shift handover.,Loading Terminal G,Industrial Safety Dataset
R325,Technician was exposed to a sudden pressure release during valve maintenance. during a routine inspection.,Well Pad H,Industrial Safety Dataset
R326,Crane operator lifted a load without verifying the rigging inspection. during a routine inspection.,Loading Terminal G,Industrial Safety Dataset
R327,Worker was operating a hoist without proper training. while working alone without supervision.,Site Yard J,Industrial Safety Dataset
R328,An employee was killed when caught between a rotating shaft and a fixed guard rail.,Production Facility B,IOGP Fatal Incident Report
R329,Contractor accessed a vessel entry point without permit sign-off. during a routine inspection.,Drill Site A,Industrial Safety Dataset
R330,Worker performed hot work near a chemical storage area without a permit.,Tank Farm C,Industrial Safety Dataset
R331,Maintenance worker performed welding without proper hot work controls. under time pressure to complete the task.,Workshop E,Industrial Safety Dataset
R332,"Employee reported a minor spill of hydraulic oil, cleaned up promptly. while working alone without supervision.",Well Pad H,Industrial Safety Dataset
R333,Worker was exposed to an energized electrical panel.,Tank Farm C,Industrial Safety Dataset
R334,Worker was struck by a dropped tool from an elevated platform. during a routine inspection.,Drill Site A,Industrial Safety Dataset
R335,Worker used a ladder without securing it at the base. under time pressure to complete the task.,Drill Site A,Industrial Safety Dataset
R336,"Worker fell from a small height while descending stairs, minor injury. under time pressure to complete the task.",Well Pad H,Industrial Safety Dataset
R337,Technician serviced a pump without confirming lockout tagout was applied. while working alone without supervision.,Workshop E,Industrial Safety Dataset
R338,Rigger performed a lifting operation using a damaged sling. during a routine inspection.,Electrical Substation I,Industrial Safety Dataset
R339,Worker performed maintenance on rotating equipment without isolation. during a routine inspection.,Pipeline ROW D,Industrial Safety Dataset
R340,Worker completed a toolbox talk before starting maintenance activity. following a shift handover.,Pipeline ROW D,Industrial Safety Dataset
R341,Worker was seen without a hard hat near an overhead crane operation. following a shift handover.,Well Pad H,Industrial Safety Dataset
R342,A worker was fatally injured in an explosion during hot work near a flammable atmosphere.,Production Facility B,IOGP Fatal Incident Report
R343,Worker was operating a hoist without proper training. under time pressure to complete the task.,Drill Site A,Industrial Safety Dataset
R344,"A contractor died after a lifting sling failed, causing the suspended load to fall.",Drill Site A,IOGP Fatal Incident Report
R345,Employee filled out routine paperwork in the office.,Pipeline ROW D,Industrial Safety Dataset
R346,Worker inspected a pressure vessel without verifying isolation status. during a routine inspection.,Electrical Substation I,Industrial Safety Dataset
R347,Employee filled out routine paperwork in the office.,Production Facility B,Industrial Safety Dataset
R348,Worker was found on a scaffold without fall protection. during night shift operations.,Gas Processing Plant F,Industrial Safety Dataset
R349,Truck driver was found using a mobile phone while driving on the road. following a shift handover.,Production Facility B,Industrial Safety Dataset
R350,Contractor was grinding near flammable material without a hot work permit. under time pressure to complete the task.,Gas Processing Plant F,Industrial Safety Dataset
R351,A fatality occurred when a worker fell from height while working on an unguarded platform.,Pipeline ROW D,IOGP Fatal Incident Report
R352,A worker was fatally injured after a scaffold collapse during construction activity.,Tank Farm C,IOGP Fatal Incident Report
R353,Crane operator lifted a load without verifying the rigging inspection.,Well Pad H,Industrial Safety Dataset
R354,Technician opened a live electrical panel without lockout applied. while working alone without supervision.,Tank Farm C,Industrial Safety Dataset
R355,Worker inspected a pressure vessel without verifying isolation status.,Well Pad H,Industrial Safety Dataset
R356,Employee was working at height on a roof without a harness. while working alone without supervision.,Workshop E,Industrial Safety Dataset
R357,Worker was cutting a pipe with a spark near open fuel containers. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R358,Technician handled a corrosive chemical without required gloves. during night shift operations.,Drill Site A,Industrial Safety Dataset
R359,Employee reported inadequate guarding on a rotating machine part. while working alone without supervision.,Site Yard J,Industrial Safety Dataset
R360,Worker climbed into a manhole without confined space precautions. under time pressure to complete the task.,Drill Site A,Industrial Safety Dataset
R361,"Worker fell from a small height while descending stairs, minor injury. following a shift handover.",Workshop E,Industrial Safety Dataset
R362,Worker performed a routine walk-around inspection with no issues found. while working alone without supervision.,Tank Farm C,Industrial Safety Dataset
R363,Worker was operating a hoist without proper training.,Drill Site A,Industrial Safety Dataset
R364,Technician entered a tank for cleaning without gas testing performed. under time pressure to complete the task.,Production Facility B,Industrial Safety Dataset
R365,Worker used a ladder without securing it at the base. following a shift handover.,Gas Processing Plant F,Industrial Safety Dataset
R366,Worker used a ladder without securing it at the base. during night shift operations.,Electrical Substation I,Industrial Safety Dataset
R367,Employee wore full PPE and followed procedure during routine inspection.,Electrical Substation I,Industrial Safety Dataset
R368,"Employee slipped on an oil spill in the workshop, no injury reported. during night shift operations.",Workshop E,Industrial Safety Dataset
R369,Worker was exposed to an energized electrical panel. under time pressure to complete the task.,Electrical Substation I,Industrial Safety Dataset
R370,Worker climbed into a manhole without confined space precautions. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R371,Worker reported a communication gap during shift handover on the drilling rig. while working alone without supervision.,Tank Farm C,Industrial Safety Dataset
R372,A worker died after being pinned between a reversing vehicle and a loading dock structure.,Site Yard J,IOGP Fatal Incident Report
R373,Worker was struck by a falling object near the lifting zone. during night shift operations.,Tank Farm C,Industrial Safety Dataset
R374,Maintenance worker performed welding without proper hot work controls. during night shift operations.,Site Yard J,Industrial Safety Dataset
R375,Maintenance worker performed welding without proper hot work controls. while working alone without supervision.,Loading Terminal G,Industrial Safety Dataset
R376,Worker handled hazardous chemicals without reviewing the safety data sheet. while working alone without supervision.,Well Pad H,Industrial Safety Dataset
R377,Contractor was grinding near flammable material without a hot work permit. following a shift handover.,Loading Terminal G,Industrial Safety Dataset
R378,Employee was standing below a suspended crane load.,Pipeline ROW D,Industrial Safety Dataset
R379,A worker was fatally struck by a suspended load during a crane lifting operation.,Pipeline ROW D,IOGP Fatal Incident Report
R380,Worker was cutting a pipe with a spark near open fuel containers. during a routine inspection.,Well Pad H,Industrial Safety Dataset
R381,Worker performed maintenance on rotating equipment without isolation. under time pressure to complete the task.,Production Facility B,Industrial Safety Dataset
R382,Worker was exposed to chemical fumes due to a damaged ventilation system. while working alone without supervision.,Well Pad H,Industrial Safety Dataset
R383,Technician replaced a light fixture using an unstable step ladder. while working alone without supervision.,Gas Processing Plant F,Industrial Safety Dataset
R384,A worker was fatally electrocuted while performing unauthorized work on a live circuit.,Well Pad H,IOGP Fatal Incident Report
R385,Technician opened a live electrical panel without lockout applied. during a routine inspection.,Electrical Substation I,Industrial Safety Dataset
R386,Contractor was grinding near flammable material without a hot work permit. during a routine inspection.,Workshop E,Industrial Safety Dataset
R387,Worker completed a toolbox talk before starting maintenance activity. under time pressure to complete the task.,Tank Farm C,Industrial Safety Dataset
R388,Employee drove a vehicle without a seatbelt during a site journey. while working alone without supervision.,Pipeline ROW D,Industrial Safety Dataset
R389,Technician replaced a light fixture using an unstable step ladder. following a shift handover.,Drill Site A,Industrial Safety Dataset
R390,A worker died after being pinned between a reversing vehicle and a loading dock structure.,Pipeline ROW D,IOGP Fatal Incident Report
R391,Worker handled hazardous chemicals without reviewing the safety data sheet. following a shift handover.,Workshop E,Industrial Safety Dataset
R392,Employee drove a vehicle without a seatbelt during a site journey. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R393,Worker was struck by a falling object near the lifting zone. while working alone without supervision.,Pipeline ROW D,Industrial Safety Dataset
R394,Worker completed a toolbox talk before starting maintenance activity. following a shift handover.,Site Yard J,Industrial Safety Dataset
R395,Worker performed a routine walk-around inspection with no issues found. under time pressure to complete the task.,Production Facility B,Industrial Safety Dataset
R396,Electrician worked on wiring without isolation confirmed. while working alone without supervision.,Drill Site A,Industrial Safety Dataset
R397,"Worker fell from a small height while descending stairs, minor injury. under time pressure to complete the task.",Gas Processing Plant F,Industrial Safety Dataset
R398,Worker was struck by a falling object near the lifting zone. under time pressure to complete the task.,Site Yard J,Industrial Safety Dataset
R399,Technician replaced a light fixture using an unstable step ladder. following a shift handover.,Production Facility B,Industrial Safety Dataset
R400,Employee was working at height on a roof without a harness. following a shift handover.,Gas Processing Plant F,Industrial Safety Dataset
R401,Worker entered a confined space without atmospheric testing. while working alone without supervision.,Electrical Substation I,Industrial Safety Dataset
R402,Object fell from scaffolding narrowly missing a worker below. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R403,Employee was standing below a suspended crane load. while working alone without supervision.,Electrical Substation I,Industrial Safety Dataset
R404,A driver was killed in a vehicle rollover while transporting equipment on an unpaved road.,Production Facility B,IOGP Fatal Incident Report
R405,Employee filled out routine paperwork in the office. while working alone without supervision.,Well Pad H,Industrial Safety Dataset
R406,Employee was caught between two pieces of moving equipment.,Workshop E,Industrial Safety Dataset
R407,Technician handled a corrosive chemical without required gloves. during night shift operations.,Tank Farm C,Industrial Safety Dataset
R408,Employee drove a vehicle without a seatbelt during a site journey. during a routine inspection.,Workshop E,Industrial Safety Dataset
R409,Staff attended a safety training session in the conference room. during night shift operations.,Electrical Substation I,Industrial Safety Dataset
R410,A contractor died after entering an unventilated confined space and being overcome by toxic gas.,Workshop E,IOGP Fatal Incident Report
R411,Vehicle driver was operating a vehicle on the site.,Production Facility B,Industrial Safety Dataset
R412,Employee drove a vehicle without a seatbelt during a site journey. during night shift operations.,Pipeline ROW D,Industrial Safety Dataset
R413,Worker inspected a pressure vessel without verifying isolation status. during night shift operations.,Drill Site A,Industrial Safety Dataset
R414,Employee reported inadequate guarding on a rotating machine part. following a shift handover.,Drill Site A,Industrial Safety Dataset
R415,Worker was exposed to an energized electrical panel. under time pressure to complete the task.,Workshop E,Industrial Safety Dataset
R416,"Worker fell from a small height while descending stairs, minor injury. during night shift operations.",Loading Terminal G,Industrial Safety Dataset
R417,Crane operator lifted a load without verifying the rigging inspection. while working alone without supervision.,Tank Farm C,Industrial Safety Dataset
R418,Worker noticed a loose guard rail and reported it before an incident occurred. during night shift operations.,Production Facility B,Industrial Safety Dataset
R419,"Worker fell from a small height while descending stairs, minor injury. while working alone without supervision.",Workshop E,Industrial Safety Dataset
R420,Crane operator lifted a load without verifying the rigging inspection. during a routine inspection.,Site Yard J,Industrial Safety Dataset
R421,Worker was operating in the line of fire of a pressurized hose. during night shift operations.,Site Yard J,Industrial Safety Dataset
R422,Crane operator lifted a load without verifying the rigging inspection. while working alone without supervision.,Drill Site A,Industrial Safety Dataset
R423,A worker was fatally injured in an explosion during hot work near a flammable atmosphere.,Gas Processing Plant F,IOGP Fatal Incident Report
R424,Vehicle driver was operating a vehicle on the site. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R425,Employee bypassed the lockout tagout procedure to restart equipment quickly. during night shift operations.,Workshop E,Industrial Safety Dataset
R426,"Employee slipped on an oil spill in the workshop, no injury reported. following a shift handover.",Site Yard J,Industrial Safety Dataset
R427,Worker completed a toolbox talk before starting maintenance activity. under time pressure to complete the task.,Workshop E,Industrial Safety Dataset
R428,Worker was operating in the line of fire of a pressurized hose. while working alone without supervision.,Production Facility B,Industrial Safety Dataset
R429,Worker entered a confined space without atmospheric testing. during a routine inspection.,Drill Site A,Industrial Safety Dataset
R430,"Employee slipped on an oil spill in the workshop, no injury reported. during night shift operations.",Pipeline ROW D,Industrial Safety Dataset
R431,Worker was cutting a pipe with a spark near open fuel containers. following a shift handover.,Site Yard J,Industrial Safety Dataset
R432,An employee died from asphyxiation after entering a tank without atmospheric testing.,Electrical Substation I,IOGP Fatal Incident Report
R433,Worker was exposed to chemical fumes due to a damaged ventilation system. following a shift handover.,Well Pad H,Industrial Safety Dataset
R434,Crane operator lifted a load without verifying the rigging inspection. while working alone without supervision.,Loading Terminal G,Industrial Safety Dataset
R435,Vehicle driver was operating a vehicle on the site. following a shift handover.,Gas Processing Plant F,Industrial Safety Dataset
R436,Technician entered a tank for cleaning without gas testing performed. while working alone without supervision.,Well Pad H,Industrial Safety Dataset
R437,Worker noticed a loose guard rail and reported it before an incident occurred. following a shift handover.,Tank Farm C,Industrial Safety Dataset
R438,Employee filled out routine paperwork in the office. under time pressure to complete the task.,Loading Terminal G,Industrial Safety Dataset
R439,Contractor accessed a vessel entry point without permit sign-off. during a routine inspection.,Tank Farm C,Industrial Safety Dataset
R440,Employee reported strong fumes near the chemical storage tank.,Production Facility B,Industrial Safety Dataset
R441,A driver was killed in a vehicle rollover while transporting equipment on an unpaved road.,Electrical Substation I,IOGP Fatal Incident Report
R442,Contractor accessed a vessel entry point without permit sign-off.,Loading Terminal G,Industrial Safety Dataset
R443,A worker died after contact with an energized high-voltage electrical panel during maintenance.,Loading Terminal G,IOGP Fatal Incident Report
R444,A contractor died after entering an unventilated confined space and being overcome by toxic gas.,Gas Processing Plant F,IOGP Fatal Incident Report
R445,Contractor entered a confined tank without informing the control room.,Workshop E,Industrial Safety Dataset
R446,Worker noticed a loose guard rail and reported it before an incident occurred. during night shift operations.,Production Facility B,Industrial Safety Dataset
R447,Worker was struck by a falling object near the lifting zone. during a routine inspection.,Gas Processing Plant F,Industrial Safety Dataset
R448,Contractor entered a confined tank without informing the control room.,Site Yard J,Industrial Safety Dataset
R449,Worker reported a communication gap during shift handover on the drilling rig. during night shift operations.,Site Yard J,Industrial Safety Dataset
R450,Worker inspected a pressure vessel without verifying isolation status. under time pressure to complete the task.,Production Facility B,Industrial Safety Dataset
R451,Worker performed hot work near a chemical storage area without a permit. during a routine inspection.,Gas Processing Plant F,Industrial Safety Dataset
